ticker,name,theme,theme_key,sector,price,score,catalyst,sector_momentum,technical,quality,value,risk,ret1_pct,ret5_pct,ret20_pct,rsi,band52_pct,volume_ratio,marketCap_B,forwardPE,trailingPE,ps,revenueGrowth,news_score_raw,negative_news_raw,news,reason
WFC,Wells Fargo & Company,Banks / Fintech / Rates,fintech_banks,Financial Services,85.51,71.5,94,76,68,43,53,90,-1.92,3.47,5.62,51.5,55.1,0.22,261.7,10.8,13.2,3.2,5.7,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 51.5, 20g 5.62% | Fwd P/E 10.8 | Gelir büy. 5.7% | 52h band 55.1%"
CVX,Chevron Corporation,Oil / Gas / LNG,energy_oil_gas,Energy,178.47,71.4,100,58,64,49,61,90,2.56,7.67,-5.69,47.7,53.1,0.38,355.6,14.1,31.1,1.9,2.3,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 47.7, 20g -5.69% | Fwd P/E 14.1 | Gelir büy. 2.3% | 52h band 53.1%"
BAC,Bank of America Corporation,Banks / Fintech / Rates,fintech_banks,Financial Services,58.58,71.4,94,76,65,44,56,92,-2.15,2.8,9.22,60.3,91.6,0.3,415.7,11.5,14.5,3.8,8.1,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 60.3, 20g 9.22% | Fwd P/E 11.5 | Gelir büy. 8.1% | 52h band 91.6%"
MS,Morgan Stanley,Banks / Fintech / Rates,fintech_banks,Financial Services,216.26,71.2,94,76,61,64,26,89,-2.61,3.45,1.89,45.3,88.0,0.21,341.1,16.6,19.6,4.7,16.3,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 45.3, 20g 1.89% | Fwd P/E 16.6 | Gelir büy. 16.3% | 52h band 88.0%"
CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,cybersecurity,Technology,186.48,71.1,100,81,61,64,0,89,-4.19,-2.26,13.22,66.3,88.5,0.3,189.8,119.4,,37.3,25.6,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 66.3, 20g 13.22% | Fwd P/E 119.4 | Gelir büy. 25.6% | 52h band 88.5%"
NVDA,NVIDIA Corporation,AI Infrastructure / Data Center,ai_infra,Technology,197.12,71.1,100,18,55,99,46,80,0.1,-1.48,-5.52,37.8,49.0,0.34,4773.2,15.4,30.1,18.8,85.2,5.83,1.36,Mistral launches first robotics model in physical AI push - Reuters || Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz...,"Katalizör: Mistral launches first robotics model in physical AI push - Reuters || Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... | Teknik: RSI 37.8, 20g -5.52% | Fwd P/E 15.4 | Gelir büy. 85.2% | 52h band 49.0%"
KMI,"Kinder Morgan, Inc.",Oil / Gas / LNG,energy_oil_gas,Energy,32.62,71.0,100,58,63,66,27,88,0.42,2.05,4.27,61.7,81.7,0.16,72.6,21.8,21.9,4.1,13.8,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 61.7, 20g 4.27% | Fwd P/E 21.8 | Gelir büy. 13.8% | 52h band 81.7%"
GS,"Goldman Sachs Group, Inc. (The)",Banks / Fintech / Rates,fintech_banks,Financial Services,1012.57,71.0,94,76,58,62,35,86,-2.92,0.12,-3.1,30.8,77.7,0.22,298.7,15.2,18.5,4.9,14.5,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 30.8, 20g -3.1% | Fwd P/E 15.2 | Gelir büy. 14.5% | 52h band 77.7%"
C,"Citigroup, Inc.",Banks / Fintech / Rates,fintech_banks,Financial Services,137.63,70.9,94,76,56,47,64,90,-2.23,-1.66,3.26,39.1,87.0,0.21,234.7,10.9,17.0,3.0,15.9,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 39.1, 20g 3.26% | Fwd P/E 10.9 | Gelir büy. 15.9% | 52h band 87.0%"
JPM,JP Morgan Chase & Co.,Banks / Fintech / Rates,fintech_banks,Financial Services,333.02,70.8,94,76,64,52,35,90,-1.83,2.2,7.52,53.4,90.0,0.32,892.2,13.9,15.9,5.1,12.7,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 53.4, 20g 7.52% | Fwd P/E 13.9 | Gelir büy. 12.7% | 52h band 90.0%"
